LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 580.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.2
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22384E+5	6.22328E+5	5.60000E+1
5.50494E+2	6.17411E+5	6.17232E+5	1.79000E+2
5.50988E+2	6.16111E+5	6.16283E+5	-1.72000E+2
5.51482E+2	6.15173E+5	6.15419E+5	-2.46000E+2
5.51976E+2	6.16292E+5	6.16239E+5	5.30000E+1
5.52470E+2	6.16119E+5	6.15618E+5	5.01000E+2
5.52963E+2	6.15433E+5	6.15306E+5	1.27000E+2
5.53457E+2	6.14596E+5	6.14664E+5	-6.80000E+1
5.53951E+2	6.14779E+5	6.14491E+5	2.88000E+2
5.54445E+2	6.14693E+5	6.14657E+5	3.60000E+1
5.54939E+2	6.14222E+5	6.14137E+5	8.50000E+1
5.55433E+2	6.13909E+5	6.14060E+5	-1.51000E+2
5.55926E+2	6.13891E+5	6.13946E+5	-5.50000E+1
5.56420E+2	6.13827E+5	6.13553E+5	2.74000E+2
5.56914E+2	6.14237E+5	6.14620E+5	-3.83000E+2
5.57407E+2	6.14804E+5	6.14537E+5	2.67000E+2
5.57901E+2	6.14729E+5	6.14887E+5	-1.58000E+2
5.58394E+2	6.14532E+5	6.14599E+5	-6.70000E+1
5.58888E+2	6.14037E+5	6.14127E+5	-9.00000E+1
5.59381E+2	6.14233E+5	6.14195E+5	3.80000E+1
5.59875E+2	6.13250E+5	6.13489E+5	-2.39000E+2
5.60368E+2	6.13366E+5	6.13410E+5	-4.40000E+1
5.60862E+2	6.12876E+5	6.12820E+5	5.60000E+1
5.61355E+2	6.12627E+5	6.12654E+5	-2.70000E+1
5.61849E+2	6.12684E+5	6.12543E+5	1.41000E+2
5.62342E+2	6.12272E+5	6.12175E+5	9.70000E+1
5.62835E+2	6.12197E+5	6.12230E+5	-3.30000E+1
5.63329E+2	6.12104E+5	6.12211E+5	-1.07000E+2
5.63822E+2	6.12129E+5	6.12008E+5	1.21000E+2
5.64315E+2	6.12023E+5	6.12153E+5	-1.30000E+2
5.64809E+2	6.11994E+5	6.12127E+5	-1.33000E+2
5.65302E+2	6.12339E+5	6.12524E+5	-1.85000E+2
5.65795E+2	6.12260E+5	6.12169E+5	9.10000E+1
5.66288E+2	6.12411E+5	6.12343E+5	6.80000E+1
5.66781E+2	6.12659E+5	6.12291E+5	3.68000E+2
5.67274E+2	6.12254E+5	6.12427E+5	-1.73000E+2
5.67767E+2	6.12714E+5	6.12449E+5	2.65000E+2
5.68260E+2	6.12611E+5	6.12453E+5	1.58000E+2
5.68753E+2	6.12634E+5	6.12612E+5	2.20000E+1
