LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 573.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 2.18333
Pictures taken: 1200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	6.22728E+5	6.22873E+5	-1.45000E+2
5.50494E+2	6.17925E+5	6.17735E+5	1.90000E+2
5.50988E+2	6.16401E+5	6.16736E+5	-3.35000E+2
5.51482E+2	6.15827E+5	6.15824E+5	3.00000E+0
5.51976E+2	6.16986E+5	6.16695E+5	2.91000E+2
5.52470E+2	6.16509E+5	6.16541E+5	-3.20000E+1
5.52963E+2	6.16045E+5	6.15914E+5	1.31000E+2
5.53457E+2	6.15173E+5	6.15106E+5	6.70000E+1
5.53951E+2	6.14787E+5	6.15186E+5	-3.99000E+2
5.54445E+2	6.15261E+5	6.15076E+5	1.85000E+2
5.54939E+2	6.14584E+5	6.14726E+5	-1.42000E+2
5.55433E+2	6.14789E+5	6.14676E+5	1.13000E+2
5.55926E+2	6.14444E+5	6.14389E+5	5.50000E+1
5.56420E+2	6.14085E+5	6.14158E+5	-7.30000E+1
5.56914E+2	6.14577E+5	6.14756E+5	-1.79000E+2
5.57407E+2	6.15298E+5	6.15052E+5	2.46000E+2
5.57901E+2	6.15186E+5	6.15387E+5	-2.01000E+2
5.58394E+2	6.15375E+5	6.15103E+5	2.72000E+2
5.58888E+2	6.14721E+5	6.14797E+5	-7.60000E+1
5.59381E+2	6.14728E+5	6.14559E+5	1.69000E+2
5.59875E+2	6.14148E+5	6.13952E+5	1.96000E+2
5.60368E+2	6.13987E+5	6.13999E+5	-1.20000E+1
5.60862E+2	6.13322E+5	6.13141E+5	1.81000E+2
5.61355E+2	6.13279E+5	6.13010E+5	2.69000E+2
5.61849E+2	6.13155E+5	6.13015E+5	1.40000E+2
5.62342E+2	6.12448E+5	6.12797E+5	-3.49000E+2
5.62835E+2	6.12817E+5	6.12808E+5	9.00000E+0
5.63329E+2	6.12772E+5	6.12592E+5	1.80000E+2
5.63822E+2	6.12777E+5	6.12516E+5	2.61000E+2
5.64315E+2	6.12729E+5	6.12599E+5	1.30000E+2
5.64809E+2	6.12395E+5	6.12433E+5	-3.80000E+1
5.65302E+2	6.12887E+5	6.12772E+5	1.15000E+2
5.65795E+2	6.12909E+5	6.12668E+5	2.41000E+2
5.66288E+2	6.12886E+5	6.12908E+5	-2.20000E+1
5.66781E+2	6.13135E+5	6.12860E+5	2.75000E+2
5.67274E+2	6.12916E+5	6.13067E+5	-1.51000E+2
5.67767E+2	6.13143E+5	6.13175E+5	-3.20000E+1
5.68260E+2	6.12741E+5	6.12747E+5	-6.00000E+0
5.68753E+2	6.13064E+5	6.13205E+5	-1.41000E+2
