LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: darrow red
Ion mass: 304.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 514.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 514.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 8.33333
Pictures taken: 4200
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.10002E+2	2.18100E+6	2.17844E+6	2.56100E+3
5.10499E+2	2.16418E+6	2.16269E+6	1.49200E+3
5.10995E+2	2.15982E+6	2.15761E+6	2.21400E+3
5.11491E+2	2.15696E+6	2.15489E+6	2.07400E+3
5.11987E+2	2.16043E+6	2.15887E+6	1.56000E+3
5.12483E+2	2.15889E+6	2.15776E+6	1.12600E+3
5.12979E+2	2.15708E+6	2.15495E+6	2.13100E+3
5.13475E+2	2.15511E+6	2.15569E+6	-5.85000E+2
5.13971E+2	2.15486E+6	2.15193E+6	2.93000E+3
5.14467E+2	2.15967E+6	2.15778E+6	1.89000E+3
5.14963E+2	2.15316E+6	2.15095E+6	2.21200E+3
5.15459E+2	2.15304E+6	2.15152E+6	1.51600E+3
5.15955E+2	2.15149E+6	2.14920E+6	2.29200E+3
5.16451E+2	2.15206E+6	2.14965E+6	2.41300E+3
5.16947E+2	2.15318E+6	2.15152E+6	1.66600E+3
5.17443E+2	2.15541E+6	2.15285E+6	2.56400E+3
5.17939E+2	2.15508E+6	2.15311E+6	1.97600E+3
5.18435E+2	2.15585E+6	2.15266E+6	3.19300E+3
5.18930E+2	2.15338E+6	2.15172E+6	1.66000E+3
5.19426E+2	2.15284E+6	2.15090E+6	1.94700E+3
5.19922E+2	2.15102E+6	2.14853E+6	2.49600E+3
5.20418E+2	2.15049E+6	2.14864E+6	1.85100E+3
5.20913E+2	2.14896E+6	2.14626E+6	2.69600E+3
5.21409E+2	2.14810E+6	2.14617E+6	1.92800E+3
5.21905E+2	2.14755E+6	2.14473E+6	2.82400E+3
5.22400E+2	2.14641E+6	2.14390E+6	2.51100E+3
5.22896E+2	2.14665E+6	2.14450E+6	2.14700E+3
5.23392E+2	2.14557E+6	2.14297E+6	2.60200E+3
5.23887E+2	2.14567E+6	2.14366E+6	2.01900E+3
5.24383E+2	2.14552E+6	2.14358E+6	1.94700E+3
5.24878E+2	2.14566E+6	2.14336E+6	2.29100E+3
5.25374E+2	2.14636E+6	2.14429E+6	2.07500E+3
5.25869E+2	2.14627E+6	2.14355E+6	2.72000E+3
5.26365E+2	2.14693E+6	2.14423E+6	2.69300E+3
5.26860E+2	2.14695E+6	2.14467E+6	2.27500E+3
5.27355E+2	2.14692E+6	2.14467E+6	2.24900E+3
5.27851E+2	2.14796E+6	2.14551E+6	2.45500E+3
5.28346E+2	2.14746E+6	2.14509E+6	2.36600E+3
5.28841E+2	2.14780E+6	2.14588E+6	1.92000E+3
