LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 561.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]



[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	2.90465E+6	2.90407E+6	5.75000E+2
5.50494E+2	2.88255E+6	2.88257E+6	-2.30000E+1
5.50988E+2	2.87689E+6	2.87692E+6	-3.50000E+1
5.51482E+2	2.87294E+6	2.87221E+6	7.29000E+2
5.51976E+2	2.87794E+6	2.87753E+6	4.13000E+2
5.52470E+2	2.87587E+6	2.87589E+6	-1.80000E+1
5.52963E+2	2.87329E+6	2.87285E+6	4.47000E+2
5.53457E+2	2.87056E+6	2.86988E+6	6.78000E+2
5.53951E+2	2.86983E+6	2.87003E+6	-2.05000E+2
5.54445E+2	2.87013E+6	2.87102E+6	-8.87000E+2
5.54939E+2	2.87013E+6	2.86761E+6	2.51600E+3
5.55433E+2	2.86812E+6	2.86740E+6	7.20000E+2
5.55926E+2	2.86551E+6	2.86608E+6	-5.75000E+2
5.56420E+2	2.86592E+6	2.86568E+6	2.44000E+2
5.56914E+2	2.86963E+6	2.86778E+6	1.84800E+3
5.57407E+2	2.87026E+6	2.86999E+6	2.64000E+2
5.57901E+2	2.87068E+6	2.87064E+6	4.00000E+1
5.58394E+2	2.87041E+6	2.87003E+6	3.73000E+2
5.58888E+2	2.86883E+6	2.86783E+6	1.00200E+3
5.59381E+2	2.86710E+6	2.86745E+6	-3.50000E+2
5.59875E+2	2.86509E+6	2.86474E+6	3.47000E+2
5.60368E+2	2.86416E+6	2.86416E+6	2.00000E+0
5.60862E+2	2.86154E+6	2.86160E+6	-6.20000E+1
5.61355E+2	2.86091E+6	2.86057E+6	3.37000E+2
5.61849E+2	2.86003E+6	2.86033E+6	-2.98000E+2
5.62342E+2	2.85875E+6	2.85848E+6	2.69000E+2
5.62835E+2	2.85852E+6	2.85878E+6	-2.62000E+2
5.63329E+2	2.85792E+6	2.85774E+6	1.77000E+2
5.63822E+2	2.85737E+6	2.85822E+6	-8.57000E+2
5.64315E+2	2.85848E+6	2.85824E+6	2.42000E+2
5.64809E+2	2.85754E+6	2.85764E+6	-1.01000E+2
5.65302E+2	2.85855E+6	2.85842E+6	1.36000E+2
5.65795E+2	2.85794E+6	2.85826E+6	-3.17000E+2
5.66288E+2	2.85954E+6	2.85891E+6	6.28000E+2
5.66781E+2	2.85988E+6	2.85898E+6	9.05000E+2
5.67274E+2	2.85920E+6	2.85936E+6	-1.68000E+2
5.67767E+2	2.86075E+6	2.86038E+6	3.76000E+2
5.68260E+2	2.85963E+6	2.85969E+6	-5.70000E+1
5.68753E+2	2.86071E+6	2.86068E+6	2.40000E+1
5.69246E+2	2.86172E+6	2.86163E+6	8.90000E+1
