LUNA Datafile
Version = 2.0
Scan = Spectrometer 

[Scan info]
Users: sbn, ttl,ck, jl
Ion name: ox170
Ion mass: 0.0 amu
Ion charge: 1

Laser used: Laser 1
Excitation wavelength: 561.0 nm
Laser filter OD: 1.5
Laser power: 0.20 mW

Flourescence filter type: Longpass filter
Filter wavelength: 561.0

[Consys]
No Consys info found
[Consys]

[Timing]
No Timing info found
[Timing]

[Data file info]


Time elapsed (min): 15.35
Pictures taken: 7700
[Data file info]
[Scan info]

[Notes]
-176oC
[Notes]

[Detectors]
Wavelength	Bg	Sig	Ref

[AndorNewton]
5.50000E+2	3.99372E+6	3.99423E+6	-5.11000E+2
5.50494E+2	3.96516E+6	3.96391E+6	1.25100E+3
5.50988E+2	3.95595E+6	3.95546E+6	4.89000E+2
5.51482E+2	3.95037E+6	3.94981E+6	5.56000E+2
5.51976E+2	3.96185E+6	3.96169E+6	1.64000E+2
5.52470E+2	3.95471E+6	3.95422E+6	4.89000E+2
5.52963E+2	3.95090E+6	3.95059E+6	3.06000E+2
5.53457E+2	3.94713E+6	3.95038E+6	-3.24800E+3
5.53951E+2	3.94597E+6	3.94697E+6	-9.93000E+2
5.54445E+2	3.94723E+6	3.94639E+6	8.43000E+2
5.54939E+2	3.94285E+6	3.94282E+6	3.10000E+1
5.55433E+2	3.94263E+6	3.94271E+6	-8.10000E+1
5.55926E+2	3.94055E+6	3.94073E+6	-1.73000E+2
5.56420E+2	3.94079E+6	3.94050E+6	2.90000E+2
5.56914E+2	3.94354E+6	3.94370E+6	-1.63000E+2
5.57407E+2	3.94658E+6	3.94667E+6	-9.00000E+1
5.57901E+2	3.94767E+6	3.94696E+6	7.11000E+2
5.58394E+2	3.94615E+6	3.94601E+6	1.36000E+2
5.58888E+2	3.94293E+6	3.94288E+6	4.90000E+1
5.59381E+2	3.94323E+6	3.94307E+6	1.63000E+2
5.59875E+2	3.93891E+6	3.94291E+6	-4.00300E+3
5.60368E+2	3.93824E+6	3.93984E+6	-1.59800E+3
5.60862E+2	3.93471E+6	3.93750E+6	-2.79500E+3
5.61355E+2	3.93419E+6	3.93345E+6	7.37000E+2
5.61849E+2	3.93322E+6	3.93386E+6	-6.37000E+2
5.62342E+2	3.93054E+6	3.93034E+6	2.06000E+2
5.62835E+2	3.93085E+6	3.93112E+6	-2.68000E+2
5.63329E+2	3.92945E+6	3.92889E+6	5.59000E+2
5.63822E+2	3.92941E+6	3.92966E+6	-2.51000E+2
5.64315E+2	3.92958E+6	3.93057E+6	-9.87000E+2
5.64809E+2	3.92949E+6	3.92919E+6	2.99000E+2
5.65302E+2	3.93133E+6	3.93097E+6	3.60000E+2
5.65795E+2	3.93063E+6	3.93015E+6	4.84000E+2
5.66288E+2	3.93149E+6	3.93196E+6	-4.70000E+2
5.66781E+2	3.93158E+6	3.93176E+6	-1.82000E+2
5.67274E+2	3.93117E+6	3.93160E+6	-4.27000E+2
5.67767E+2	3.93362E+6	3.93300E+6	6.17000E+2
5.68260E+2	3.93230E+6	3.93255E+6	-2.43000E+2
5.68753E+2	3.93370E+6	3.93350E+6	1.94000E+2
