samples/step: 900
Wavelength (nm)	Power (mW)
440.000000	0.480156
441.000000	0.499879
442.000000	0.522487
443.000000	0.503653
444.000000	0.492344
445.000000	0.491785
446.000000	0.489907
447.000000	0.420668
448.000000	0.381919
449.000000	0.480295
450.000000	0.562908
451.000000	0.550349
452.000000	0.531911
453.000000	0.481430
454.000000	0.540787
455.000000	0.560423
456.000000	0.561471
457.000000	0.569798
458.000000	0.603004
459.000000	0.607023
460.000000	0.632581
461.000000	0.643174
462.000000	0.664994
463.000000	0.715335
464.000000	0.709878
465.000000	0.729586
466.000000	0.698674
467.000000	0.760429
468.000000	0.786250
469.000000	0.768913
470.000000	0.788429
471.000000	0.795615
472.000000	0.765781
473.000000	0.781984
474.000000	0.848477
475.000000	0.866008
476.000000	0.888286
477.000000	0.917506
478.000000	0.877161
479.000000	0.867554
480.000000	0.880299
481.000000	0.912050
482.000000	0.889531
483.000000	0.855870
484.000000	0.838318
485.000000	0.825338
486.000000	0.822360
487.000000	0.794756
488.000000	0.700854
489.000000	0.773792
490.000000	0.766196
491.000000	0.776071
492.000000	0.700641
493.000000	0.729192
494.000000	0.735364
495.000000	0.700257
496.000000	0.674759
497.000000	0.657493
498.000000	0.639036
499.000000	0.625353
500.000000	0.658364
501.000000	0.616164
502.000000	0.616443
503.000000	0.676632
504.000000	0.598123
505.000000	0.568401
506.000000	0.489165
507.000000	0.617566
508.000000	0.556723
509.000000	0.663954
510.000000	0.606454
511.000000	0.661628
512.000000	0.621622
513.000000	0.690617
514.000000	0.633927
515.000000	0.675369
516.000000	0.722218
517.000000	0.646588
518.000000	0.699241
519.000000	0.679256
520.000000	0.669159
521.000000	0.653212
522.000000	0.628015
523.000000	0.666315
524.000000	0.583618
525.000000	0.636619
526.000000	0.708140
527.000000	0.583244
528.000000	0.575690
529.000000	0.463083
530.000000	0.461053
531.000000	0.627614
532.000000	0.608678
533.000000	0.517659
534.000000	0.535445
535.000000	0.512825
536.000000	0.501942
537.000000	0.484749
538.000000	0.484425
539.000000	0.527634
540.000000	0.508052
541.000000	0.509372
542.000000	0.463882
543.000000	0.452305
544.000000	0.489314
545.000000	0.496796
546.000000	0.455369
547.000000	0.428197
548.000000	0.446151
549.000000	0.500007
550.000000	0.439093
551.000000	0.527851
552.000000	0.441257
553.000000	0.479900
554.000000	0.500705
555.000000	0.409366
556.000000	0.408751
557.000000	0.514401
558.000000	0.409608
559.000000	0.499537
560.000000	0.418407
561.000000	0.494846
562.000000	0.501919
563.000000	0.411925
564.000000	0.422540
565.000000	0.483393
566.000000	0.488591
567.000000	0.401894
568.000000	0.469160
569.000000	0.402467
570.000000	0.444584
571.000000	0.404399
572.000000	0.387671
573.000000	0.404668
574.000000	0.410147
575.000000	0.386820
576.000000	0.396655
577.000000	0.410878
578.000000	0.358648
579.000000	0.408284
580.000000	0.374363
581.000000	0.320294
582.000000	0.332499
583.000000	0.351397
584.000000	0.309375
585.000000	0.332176
586.000000	0.277087
587.000000	0.253482
588.000000	0.254804
589.000000	0.261081
590.000000	0.249795
591.000000	0.339821
592.000000	0.266586
593.000000	0.234885
594.000000	0.214411
595.000000	0.225070
596.000000	0.255921
597.000000	0.260824
598.000000	0.204597
599.000000	0.155932
600.000000	0.192161
